Rank,Release Group,Worldwide,Domestic,%,Foreign,%
94,The Birth of Korea,"$272,545",-,-,"$272,545",100%
95,Rewind,"$268,859",-,-,"$268,859",100%
96,The Jack in the Box Rises,"$262,484",-,-,"$262,484",100%
97,Superpietonii Zurli,"$258,930",-,-,"$258,930",100%
98,Pet Shop Boys Dreamworld: The Greatest Hits Live at the Royal Arena Copenhagen,"$258,602",-,-,"$258,602",100%
99,Race for Glory: Audi vs. Lancia,"$242,319",-,-,"$242,319",100%
100,Neon Genesis Evangelion: The End of Evangelion 2024 Re-release,"$219,009",-,-,"$219,009",100%
101,Powstaniec 1863,"$214,850",-,-,"$214,850",100%
102,Turbozavry. God drakona,"$191,135",-,-,"$191,135",100%
103,Dziewczyna influencera,"$181,358",-,-,"$181,358",100%
104,Sous le vent des Marquises,"$169,889",-,-,"$169,889",100%
105,Gepack,"$165,193",-,-,"$165,193",100%
106,Sidonie in Japan,"$160,519",-,-,"$160,519",100%
107,Genoa comunque e ovunque,"$156,824",-,-,"$156,824",100%
108,Dog Days,"$155,921",-,-,"$155,921",100%
109,Sometimes I Think About Dying,"$154,270","$75,966",49.2%,"$78,304",50.8%
110,Weak Layers,"$148,777","$148,777",100%,-,-
111,Nightmare Resort,"$143,902",-,-,"$143,902",100%
112,Le voyage en pyjama,"$140,741",-,-,"$140,741",100%
113,Yasam Koçu,"$129,275",-,-,"$129,275",100%
114,Demon: Azab-ül Kem,"$120,301",-,-,"$120,301",100%
115,Stella: A Life,"$115,632",-,-,"$115,632",100%
116,Johnny Keep Walking!,"$113,011",-,-,"$113,011",100%
117,Plague,"$111,480",-,-,"$111,480",100%
118,Sau,"$111,441",-,-,"$111,441",100%
119,"Tantsuy, Selyodka!","$104,150",-,-,"$104,150",100%
120,El Harifa,"$103,933",-,-,"$103,933",100%
121,Merry Christmas,"$101,511",-,-,"$101,511",100%
122,Tay 2: Ebabil Takimi,"$101,316",-,-,"$101,316",100%
123,Al Eskandarany,"$94,001",-,-,"$94,001",100%
124,Timir,"$93,711",-,-,"$93,711",100%
125,Lassie Comes Home 2,"$93,666",-,-,"$93,666",100%
126,Grand Finale,"$90,208",-,-,"$90,208",100%
127,Un mal día lo tiene cualquiera,"$87,291",-,-,"$87,291",100%
128,Haydi Tut Elimi,"$86,003",-,-,"$86,003",100%
129,Pigiama Party! Carolina e Nunù alla Grande Festa dello Zecchino d'Oro,"$80,282",-,-,"$80,282",100%
130,Flight 404,"$76,555",-,-,"$76,555",100%
131,Selling a Colonial War,"$76,550",-,-,"$76,550",100%
132,I Told You So,"$74,640",-,-,"$74,640",100%
133,Scala,"$73,832",-,-,"$73,832",100%
134,The Settlers,"$66,895","$44,602",66.7%,"$22,293",33.3%
135,Fear the Invisible Man,"$63,433",-,-,"$63,433",100%
136,Bring Him to Me,"$63,201",-,-,"$63,201",100%
137,The Gullspång Miracle,"$62,264",-,-,"$62,264",100%
138,Baskan,"$60,215",-,-,"$60,215",100%
139,Il punto di rugiada,"$59,848",-,-,"$59,848",100%
140,"Prima danza, poi pensa. Alla ricerca di Beckett","$58,678",-,-,"$58,678",100%
141,The Monk and the Gun,"$54,920","$54,920",100%,-,-
142,Johnny Puff: Secret Mission,"$54,556",-,-,"$54,556",100%
143,Quiero que me mantengan,"$54,434",-,-,"$54,434",100%
144,The Verge of Death,"$53,155",-,-,"$53,155",100%
145,Al Tagriba El Mexicia,"$51,279",-,-,"$51,279",100%
146,Fitting In,"$50,091","$50,091",100%,-,-
147,Aggro Dr1ft,"$46,300","$46,300",100%,-,-
148,Main Atal Hoon,"$41,105",-,-,"$41,105",100%
149,One from the Heart: Reprise,"$41,080","$41,080",100%,-,-
150,Hannas 2,"$39,167",-,-,"$39,167",100%
151,Saindhav,"$39,121",-,-,"$39,121",100%
152,Ask Mevsimi,"$38,638",-,-,"$38,638",100%
153,Ape vs. Mecha Ape,"$37,591",-,-,"$37,591",100%
154,Honeymoon,"$37,117",-,-,"$37,117",100%
155,ESABAT AZEEMA (ARABIC),"$34,145",-,-,"$34,145",100%
156,Ambajipeta Marriage Band,"$31,665",-,-,"$31,665",100%
157,The Vourdalak,"$31,590",-,-,"$31,590",100%
158,Hundreds of Beavers,"$31,259","$31,259",100%,-,-
159,3310'dan Tüm Birimlere,"$31,253",-,-,"$31,253",100%
160,Naa Saami Ranga,"$30,693",-,-,"$30,693",100%
161,The Muckels,"$30,451",-,-,"$30,451",100%
162,10 Things I Hate About You 2023 Re-release,"$29,378",-,-,"$29,378",100%
163,Singapore Saloon,"$29,291",-,-,"$29,291",100%
164,Baby Shark's Big Movie!,"$28,264",-,-,"$28,264",100%
165,GG Bond: Diary of Dinosaurs,"$26,942",-,-,"$26,942",100%
166,Jackdaw,"$26,122",-,-,"$26,122",100%
167,Faro,"$24,903",-,-,"$24,903",100%
